Campaign Name,Tags,Subject,List,Send Time,Send Weekday,Total Recipients,Unique Placed Order,Placed Order Rate,Revenue,Unique Opens,Open Rate,Total Opens,Unique Clicks,Click Rate,Total Clicks,Unsubscribes,Spam Complaints,Spam Complaints Rate,Successful Deliveries,Bounces,Bounce Rate,Campaign ID,Campaign Channel
Venerdì 10/10 - Cambio stagione cambio stile,,"Cambio di stagione, cambio di stile!",Iscritti,2025-10-10 12:00:00,Friday,18468.0,7.0,0.04%,285.85,4193.0,23.23%,5454.0,228.0,1.26%,300.0,64.0,6.0,0.03%,18052.0,416.0,2.25%,01K71H4HXKAJ1B54JKDJ82RDZA,Email
Martedì 13/10 - Protezione raggi UV,Iscritti,[MULTIPLE VARIATIONS],Iscritti,2025-10-14 12:00:00,Tuesday,18464.0,2.0,0.01%,81.96,3076.0,16.98%,3936.0,95.0,0.52%,128.0,40.0,6.0,0.03%,18115.0,349.0,1.89%,01K71RJ4N6BWFJ6ESA4SK8XXE9,Email
Venerdì 17/10 - Occhiali sportivi,,Per chi corre…o per chi finge di farlo!,Iscritti,2025-10-24 12:00:00,Friday,2160.0,1.0,0.05%,37.98,864.0,40.07%,1286.0,36.0,1.67%,40.0,11.0,0.0,0.00%,2156.0,4.0,0.18%,01K7HBQH8MT06K3PR4FSQQSK07,Email
Martedì 28/10 - Halloween,,Quest’anno ad Halloween… niente paura.,Iscritti,2025-10-30 13:00:00,Thursday,2171.0,0.0,0.00%,0.0,855.0,39.51%,1252.0,35.0,1.62%,53.0,9.0,1.0,0.05%,2164.0,7.0,0.32%,01K8JMW1Y5RPFATNNXF1QPPT4H,Email
Martedì 28/10 - 3 occhiali,,La forma del viso non si sceglie. Gli occhiali sì!,Iscritti,2025-11-01 13:00:00,Saturday,2163.0,2.0,0.09%,37.98,798.0,37.06%,1179.0,21.0,0.97%,25.0,10.0,1.0,0.05%,2153.0,10.0,0.46%,01K8N6HN73WXCNCK96X3EGHBAN,Email
Mercoledì 5/10 - Scegli il tuo colore,,"Se ti piace, non vuol dire che ti sta bene!",Iscritti,2025-11-05 13:00:00,Wednesday,18754.0,4.0,0.02%,198.91,3302.0,18.00%,4274.0,80.0,0.44%,99.0,37.0,0.0,0.00%,18349.0,405.0,2.16%,01K99NGTVBNHWFYBX55CK7MQ6H,Email
Venerdì 7/10 - Mood,,Il tuo mood cambia ogni giorno.,Iscritti,2025-11-07 13:00:00,Friday,2384.0,2.0,0.08%,65.96,1039.0,43.78%,1888.0,18.0,0.76%,21.0,16.0,0.0,0.00%,2373.0,11.0,0.46%,01K9AN229YKRQTKCVYTJDFJ4D6,Email
Mercoledì 12/11 - Nuova Apertura,,Occhialematto invade Porte di Roma!,Iscritti,2025-11-12 13:00:00,Wednesday,2711.0,0.0,0.00%,0.0,848.0,31.41%,1164.0,28.0,1.04%,36.0,14.0,0.0,0.00%,2700.0,11.0,0.41%,01K9SSA0W67HWYM1PYW91VGS3M,Email
Venerdì 14/11 - Nuovi arrivi,,Non è un attore… ma ruba la scena lo stesso!,Iscritti,2025-11-14 13:00:00,Friday,2698.0,2.0,0.07%,92.96,818.0,30.50%,1119.0,25.0,0.93%,35.0,4.0,0.0,0.00%,2682.0,16.0,0.59%,01K9PND8XVV1SP3SPBWBP9DFYH,Email
"Campaign Nov 19, 2025, 10:40 AM",,Quasi Black Friday… ma noi non resistiamo.,Email List,2025-11-19 13:00:00,Wednesday,1176.0,1.0,0.09%,74.98,401.0,34.33%,518.0,31.0,2.65%,42.0,2.0,0.0,0.00%,1168.0,8.0,0.68%,01KADQVFVTG9Y2GFS853DRW994,Email
"Campaign Nov 19, 2025, 11:03 AM",,Black Friday in arrivo! Più matto del solito.,Iscritti,2025-11-21 13:00:00,Friday,2879.0,1.0,0.03%,39.98,894.0,31.24%,1204.0,72.0,2.52%,80.0,7.0,0.0,0.00%,2862.0,17.0,0.59%,01KADS41W0BYT0M4GCJZZ0AMNG,Email
Lunedì 24/11 - Black Friday,,Da oggi iniziano le offerte del Black Friday!,Iscritti,2025-11-24 13:00:00,Monday,19086.0,0.0,0.00%,0.0,2464.0,13.19%,3043.0,128.0,0.69%,152.0,38.0,4.0,0.02%,18684.0,402.0,2.11%,01KATJVWVJE2ZCEHXHW1TH5MDZ,Email
Lunedì 24/11 - Black Friday,,Da oggi iniziano le offerte del Black Friday!,Iscritti,2025-11-24 13:00:00,Monday,5.0,0.0,0.00%,0.0,2.0,40.00%,2.0,0.0,0.00%,0.0,0.0,0.0,0.00%,5.0,0.0,0.00%,01KATH7V8ZCZ3TX81BZ9H9DQ5E,Email
Venerdì 28/11 - Ottica,,Un nuovo servizio dedicato alla tua cura visiva!,Iscritti,2025-11-28 13:00:00,Friday,3406.0,4.0,0.12%,145.95,826.0,24.43%,1058.0,13.0,0.39%,16.0,14.0,1.0,0.03%,3381.0,25.0,0.73%,01KB4Y26NN1S8NB2TRHKG61BB0,Email
Mercoledì 03/11 - Pigalle,,Il Black Friday ti chiama. Pigalle pure!,Iscritti,2025-12-03 13:00:00,Wednesday,3462.0,3.0,0.09%,169.96,834.0,24.26%,1060.0,37.0,1.08%,53.0,10.0,1.0,0.03%,3438.0,24.0,0.69%,01KBFYF0B9D5K02BK0JXPFTH55,Email
Venerdì 5/11 - Fine Primo Black,,Black Friday: il 7 si chiude un’offerta. L’8 se ne apre un’altra!,Iscritti,2025-12-05 13:00:00,Friday,3476.0,2.0,0.06%,75.96,940.0,27.20%,1172.0,34.0,0.98%,41.0,9.0,0.0,0.00%,3456.0,20.0,0.57%,01KBPX3BGBX214PRWQJYRYBS94,Email
Lunedì 8/12 - Secondo Black,,Il Black Friday non sa quando smettere.,Iscritti,2025-12-08 17:30:00,Monday,3505.0,6.0,0.17%,233.89,1342.0,38.54%,1830.0,49.0,1.41%,56.0,8.0,0.0,0.00%,3482.0,23.0,0.66%,01KBZ73BHH0WX34W60Q2X6FHEJ,Email
Venerdì 12/12 - Prima natale 2,,Babbo Natale ha fatto 3×2. Tu che scusa hai?,Iscritti,2025-12-12 13:00:00,Friday,3487.0,3.0,0.09%,119.95,1344.0,38.81%,1845.0,54.0,1.56%,62.0,6.0,1.0,0.03%,3463.0,24.0,0.69%,01KC75JVSTNCNH6NN1YJTQR671,Email
Mercoledì 17/12 - Prima natale 3,,Non è un miracolo di Natale. È il 3x2!,ENGAGED – 30/60 giorni,2025-12-17 13:00:00,Wednesday,2638.0,3.0,0.11%,152.94,1350.0,51.59%,1815.0,53.0,2.02%,62.0,13.0,0.0,0.00%,2617.0,21.0,0.80%,01KCNWAJQ46PPA0MS26PBXXSV3,Email
Venerdì 19/12 - Modello Prime,,PRIME è arrivato. Il 3×2 pure. Uno paga zero!,ENGAGED – 30/60 giorni,2025-12-19 13:00:00,Friday,2627.0,4.0,0.15%,152.94,1333.0,51.07%,1784.0,39.0,1.49%,46.0,2.0,1.0,0.04%,2610.0,17.0,0.65%,01KCV18R5V7YKXR7AEJ1Q6EHDT,Email
Mercoledì 24/12 - Buone feste,,Buone Feste da Occhiale Matto!,ENGAGED – 30/60 giorni,2025-12-24 13:00:00,Wednesday,2682.0,4.0,0.15%,140.94,1420.0,53.32%,1921.0,22.0,0.83%,33.0,14.0,0.0,0.00%,2663.0,19.0,0.71%,01KD7XBAX2S278REEJV3MH34NE,Email
Domenica 28/12 - Pre capodanno,,Con che occhiale entri nel nuovo anno?,ENGAGED – 30/60 giorni,2025-12-28 17:45:00,Sunday,2695.0,4.0,0.15%,130.95,1542.0,57.67%,2071.0,50.0,1.87%,64.0,9.0,0.0,0.00%,2674.0,21.0,0.78%,01KDJRCNCKFMM4RJZKDZPXZ3RX,Email
Mercoledì 31/12 - Capodanno,,Un enorme grazie per questo 2025!,ENGAGED – 30/60 giorni,2025-12-31 13:15:00,Wednesday,2697.0,1.0,0.04%,57.98,1174.0,43.74%,1478.0,27.0,1.01%,34.0,11.0,0.0,0.00%,2684.0,13.0,0.48%,01KDSZRGY9T47ARQCA6H94E8WA,Email
Mercoledì 7/01 - Prima dell'anno,,Buoni propositi? Inizia dagli occhiali.,ENGAGED – 30/60 giorni,2026-01-07 13:00:00,Wednesday,4492.0,6.0,0.14%,238.88,3198.0,71.85%,4113.0,83.0,1.86%,103.0,20.0,0.0,0.00%,4451.0,41.0,0.91%,01KEBY5H98MVVYX3JN3C8ATNV6,Email
Sabato 10/1 - Email ottica,,È ora di vedere meglio.,ENGAGED – 30/60 giorni,2026-01-10 13:15:00,Saturday,4463.0,8.0,0.18%,299.84,3142.0,70.91%,3983.0,19.0,0.43%,22.0,16.0,1.0,0.02%,4431.0,32.0,0.72%,01KEKRB68168FQK0NCF4RM1724,Email
